Year,Temperature
1850,-0.33599999999999997
1851,-0.15900000000000003
1852,-0.10700000000000001
1853,-0.17700000000000002
1854,-0.07100000000000001
1855,-0.19
1856,-0.378
1857,-0.405
1858,-0.4
1859,-0.21500000000000002
1860,-0.363
1861,-0.29500000000000004
1862,-0.6679999999999999
1863,-0.195
1864,-0.521
1865,-0.258
1866,-0.21000000000000002
1867,-0.33799999999999997
1868,-0.128
1869,-0.127
1870,-0.203
1871,-0.397
1872,-0.185
1873,-0.29500000000000004
1874,-0.272
1875,-0.508
1876,-0.345
1877,0
1878,0.192
1879,-0.222
1880,-0.24200000000000002
1881,-0.23800000000000002
1882,-0.24400000000000002
1883,-0.359
1884,-0.47400000000000003
1885,-0.367
1886,-0.33799999999999997
1887,-0.356
1888,-0.266
1889,-0.138
1890,-0.363
1891,-0.28900000000000003
1892,-0.466
1893,-0.543
1894,-0.375
1895,-0.368
1896,-0.15200000000000002
1897,-0.14400000000000002
1898,-0.28800000000000003
1899,-0.22
1900,-0.096
1901,-0.12400000000000001
1902,-0.367
1903,-0.4
1904,-0.48500000000000004
1905,-0.33599999999999997
1906,-0.199
1907,-0.47700000000000004
1908,-0.458
1909,-0.448
1910,-0.41700000000000004
1911,-0.42100000000000004
1912,-0.466
1913,-0.447
1914,-0.23700000000000002
1915,-0.125
1916,-0.385
1917,-0.493
1918,-0.353
1919,-0.36
1920,-0.278
1921,-0.101
1922,-0.24500000000000002
1923,-0.231
1924,-0.222
1925,-0.117
1926,-0.008
1927,-0.113
1928,-0.14200000000000002
1929,-0.318
1930,-0.011
1931,0.034999999999999996
1932,-0.068
1933,-0.23900000000000002
1934,-0.034
1935,-0.097
1936,-0.049
1937,0.07300000000000001
1938,0.10700000000000001
1939,0.041
1940,0.008
1941,0.039
1942,0.022
1943,0.1
1944,0.186
1945,0.024
1946,0.027
1947,0.019
1948,0.08
1949,-0.027
1950,-0.17
1951,0.051000000000000004
1952,0.039
1953,0.199
1954,-0.058
1955,-0.088
1956,-0.262
1957,0.009
1958,0.116
1959,0.07300000000000001
1960,0.015
1961,0.065
1962,0.089
1963,0.14800000000000002
1964,-0.169
1965,-0.134
1966,0.003
1967,0.026000000000000002
1968,-0.063
1969,-0.054000000000000006
1970,-0.056
1971,-0.193
1972,-0.222
1973,0.024
1974,-0.261
1975,-0.12300000000000001
1976,-0.29300000000000004
1977,0.034
1978,-0.056
1979,0.006
1980,0.068
1981,0.23600000000000002
1982,-0.028999999999999998
1983,0.168
1984,-0.085
1985,-0.131
1986,0.026000000000000002
1987,0.15300000000000002
1988,0.233
1989,0.164
1990,0.41200000000000003
1991,0.316
1992,0.07400000000000001
1993,0.13
1994,0.28
1995,0.47000000000000003
1996,0.17500000000000002
1997,0.456
1998,0.614
1999,0.40800000000000003
2000,0.404
2001,0.558
2002,0.593
2003,0.642
2004,0.604
2005,0.724
2006,0.6759999999999999
2007,0.713
2008,0.5690000000000001
2009,0.594
2010,0.74
2011,0.5750000000000001
2012,0.627
2013,0.6739999999999999
2014,0.779
2015,1.033
2016,1.064
2017,0.922
2018,0.7889999999999999
2019,0.972
2020,1.118
2021,0.914
