SiteCode,Date,SoilType,Region,Hg
CHNA,2000,thin,NW,3.84339855275794
CHNA,1990,thin,NW,5.42461797827638
CHNA,1980,thin,NW,8.81972984714937
CHNA,1970,thin,NW,11.4174572948292
CHNA,1960,thin,NW,16.513540420367
CHNA,1950,thin,NW,16.5120469510654
CHNA,1940,thin,NW,11.1888397621818
CHNA,1930,thin,NW,11.6222216338607
CHNA,1920,thin,NW,13.6458527573026
CHNA,1910,thin,NW,11.1817105750069
CHNA,1900,thin,NW,10.7454554695636
CHNA,1890,thin,NW,9.71379011140503
CHNA,1880,thin,NW,7.8960181567253
CHNA,1870,thin,NW,7.09940043751745
CHNA,1860,thin,NW,7.70618096763684
NODH,2000,eroded,NW,35.8834906637953
NODH,1990,eroded,NW,22.8957802860232
NODH,1980,eroded,NW,27.6282090511141
NODH,1970,eroded,NW,44.8016154636897
NODH,1960,eroded,NW,17.1932937252751
NODH,1950,eroded,NW,11.5222519054667
NODH,1940,eroded,NW,12.7657580313695
NODH,1930,eroded,NW,8.06164554912303
NODH,1920,eroded,NW,9.27449252884798
NODH,1910,eroded,NW,12.6727949187786
NODH,1900,eroded,NW,11.7696966698145
NODH,1890,eroded,NW,8.19098294084098
NODH,1880,eroded,NW,7.49950251568455
NODH,1870,eroded,NW,7.48865383238051
FION,2000,non-eroded,NW,23.582710285804
FION,1990,non-eroded,NW,25.5637680041376
FION,1980,non-eroded,NW,27.2598417119407
FION,1970,non-eroded,NW,31.929118819505
FION,1960,non-eroded,NW,13.6751410394376
FION,1950,non-eroded,NW,10.4514677874499
FION,1940,non-eroded,NW,9.26419666630066
FION,1930,non-eroded,NW,4.37466020441741
FION,1920,non-eroded,NW,4.29637292603734
FION,1910,non-eroded,NW,4.39676926661454
FION,1900,non-eroded,NW,4.36877443231295
FION,1890,non-eroded,NW,4.21210179341985
FION,1880,non-eroded,NW,4.1557930021805
FION,1870,non-eroded,NW,10.1530181432296
FION,1860,non-eroded,NW,11.2956408426344
