Spobee,Hive,Infection,BeesN
6.66667,1,0,95000
13.33333,1,0,95000
6.66667,1,0,95000
6.66667,2,0,95000
20,2,0,95000
0,2,0,95000
20,3,0,85000
6.66667,3,0,85000
16.66667,3,0,85000
33.33333,4,0,90000
33.33333,4,0,90000
100,4,0,90000
6.66667,5,0,90000
0,5,0,90000
0,5,0,90000
15733.33333,6,0,85000
10973.33333,6,0,85000
3466.66667,6,0,85000
0,7,0,45000
16.66667,7,0,45000
6.66667,7,0,45000
400,8,0,45000
2433.33333,8,0,45000
1400,8,0,45000
966.66667,9,0,90000
1300,9,0,90000
1533.33333,9,0,90000
6.66667,10,0,45000
10,10,0,45000
23.33333,10,0,45000
333.33333,11,0,45000
66.66667,11,0,45000
360,11,0,45000
217760,12,3,25000
197333.3333,12,3,25000
136533.3333,12,3,25000
191466.6667,13,3,60000
90933.33333,13,3,60000
155733.3333,13,3,60000
62666.66667,14,2,50000
170133.3333,14,2,50000
64080,14,2,50000
133.33333,15,0,70000
33.33333,15,0,70000
13.33333,15,0,70000
3.33333,16,0,70000
3.33333,16,0,70000
6.66667,16,0,70000
213.33333,17,0,70000
333.33333,17,0,70000
380,17,0,70000
10,18,0,70000
40,18,0,70000
6.66667,18,0,70000
3066.66667,19,0,45000
2600,19,0,45000
3142.23333,19,0,45000
33.33333,20,0,70000
126.66667,20,0,70000
46.66667,20,0,70000
2760,21,1,95000
1600,21,1,95000
1700,21,1,95000
26.66667,22,0,70000
33.33333,22,0,70000
60,22,0,70000
16.66667,23,0,75000
3.33333,23,0,75000
13.33333,23,0,75000
300,24,0,70000
66.66667,24,0,70000
353.33333,24,0,70000
